Year,TreeID,Habitat,d13C,d13Catm,D13C,CO2.alt,CO2.mean,Ci,Ci_Ca.Paulo,iWUE,Neutral.3800,Neutral.3600,Neutral.Paulo,C_ug,Plot,BAI.mm,RW,RWI,BAI.cum,Radius,DBH,CA,Max.CA,Aspect,BAI.cm,BAI.cum.cm,Age_Class,logBAI.cm,max.DBH
1882,A7P1,Downstream,-25.22033842,-6.55,18.39079815,207.27,292,180.7660646,0.619061865,66.26982458,75.0788312,74.6114912,55.18792425,639.61,A7,24.46838235,0.894,0.656168448,72.47280088,4.803,9.606,3,136,North,0.244683823,0.724728009,Mature,-1.40778842,35.2948
1883,A7P1,Downstream,-24.60824402,-6.56,17.76478098,207.48,292.5,172.9733822,0.59136199,71.44715084,75.306913,74.839573,55.50042425,629.85,A7,35.92432248,1.071,0.788913745,108.3971234,5.874,11.748,4,136,North,0.359243225,1.083971234,Mature,-1.023755613,35.2948
1884,A7P1,Downstream,-24.65946151,-6.56,17.81633668,207.69,292.9,173.8780979,0.593643216,71.12724951,75.48937844,75.02203844,55.75042425,603.84,A7,41.99896258,1.045,0.772515871,150.3960859,6.919,13.838,5,136,North,0.419989626,1.503960859,Mature,-0.867525268,35.2948
1888,A7P1,Downstream,-24.26715024,-6.58,17.40165312,210.4,294.1,169.1940788,0.575294386,74.79133351,76.03677476,75.56943476,56.50042425,607.81,A7,101.4075855,1.569,1.172200441,385.0557156,11.071,22.142,8,136,North,1.014075855,3.850557156,Mature,0.01397771,35.2948
1892,A15P3,Upstream,-25.10190366,-6.6,18.62482752,209.33,294.8,185.5521749,0.629417147,68.27989067,76.35608928,75.88874928,56.93792425,628.8473954,A15,99.97432496,1.304,0.649193334,519.0706389,12.854,25.708,11,134,North,0.99974325,5.190706389,Mature,-0.000256783,48.8524
1892,A7P1,Downstream,-24.4492548,-6.6,17.56518502,209.33,294.8,171.7299356,0.582530311,73.63606231,76.35608928,75.88874928,56.93792425,574.6,A7,305.0564629,2.506,1.904571686,1336.663256,20.627,41.254,13,136,North,3.050564629,13.36663256,Mature,1.115326698,35.2948
1893,A15P3,Upstream,-24.60424797,-6.6,18.12386548,209.54,294.7,178.9567769,0.607250685,72.33951445,76.31047292,75.84313292,56.87542425,594.9273944,A15,126.9526513,1.486,0.742357075,646.0232903,14.34,28.68,12,134,North,1.269526513,6.460232903,Mature,0.238644007,48.8524
1893,A7P1,Downstream,-24.25667171,-6.6,17.37132244,209.54,294.7,169.1437488,0.57395232,75.1910426,76.31047292,75.84313292,56.87542425,576.76,A7,370.1938178,2.682,2.045184102,1706.857074,23.309,46.618,14,136,North,3.701938178,17.06857074,Mature,1.308856514,35.2948
1894,A15P3,Upstream,-24.99956214,-6.61,18.51192597,209.76,294.8,184.0794591,0.624421503,69.20033805,76.35608928,75.88874928,56.93792425,629.9085852,A15,185.1879522,1.926,0.965467479,831.2112425,16.266,32.532,13,134,North,1.851879522,8.312112425,Mature,0.616201081,48.8524
1894,A7P1,Downstream,-24.74321069,-6.61,17.85120717,209.76,294.8,175.4608794,0.595186158,71.3041894,76.35608928,75.88874928,56.93792425,573.52,A7,458.3914428,2.944,2.252470449,2165.248517,26.253,52.506,15,136,North,4.583914428,21.65248517,Mature,1.522553312,35.2948
