Year,A2P1,A2P2,A2P3,A2P4,A7P1,A7P2,A15P1,A15P2,A15P3,A15P4,A17P1,A17P2,A17P3,A17P4,A17P5,A18P2,A18P3,A18P1,A18P4,A18P6,A18P5,A20P1,A20P3,A20P4,A20P2,A21P1,A21P5,A21P3,A21P2,A21P4,A25P2,A25P3,A25P4,A25P5,A25P1,B4P3,B4P2,B4P1,B4P4,B4P5,B5P4,B5P5,B5P3,B5P2,B5P1
1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,,,,,,,,,
1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.212,,,,,,,,,
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.629,,,,,,,,,
1876,,,,,,,,,,,,,,,,,,,,,,,1.314,,,,,,,,,,,,,0.611,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,0.506,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,,,0.405,,,,,,,,,,,,,0.336,,,,,,,,,
1879,,,,,,,,,,,,,,,,,,,,,,,1.245,,,,,,,,,,,,,0.597,,,,,,,,,
1880,,,,,2.006,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,0.779,,,,,,,,,
1881,,,,,1.903,,,,,,,,,,,,,,,,,,1.307,,,,,,,,,,,,,1.13,,,,,,,,,
1882,,,,,0.894,,,,1.983,,,,,,,,,,,,,,1.287,,,,,,,,,,,,,0.994,,,,,,,,,
1883,,,,,1.071,,,,1.194,,,,,,,,,,,,,,2.132,,,,,,,,,,,,,0.74,,,,,,,,,
1884,,,,,1.045,,,,1.124,,,,,,,,,,,,,,2.866,,,,,,,,,,,,,0.435,,,,,,,,,
1885,,,,,1.31,,,,1.279,,,,,,,,,,,,,,1.949,,,,,,,,,,,,,0.724,,,,,,,,,
1886,,,,,1.273,,,,0.858,,,,,,,,,,,,,,1.784,,,,,,,,,,,,,0.877,,,,,,,,,
1887,,,,,1.569,,,,1.2,,,,,,,,,,,,,,2.482,,,,,,,,,,,,,1.293,,,,,,,,,
1888,,,,,2.255,,,,1.064,,,,,,,,,,,,,,1.679,,,,,,,,,,,,,1.695,,,,,,,,,
1889,,,,,2.052,,,,0.737,,,,,,,,,,,,,,1.675,,,,,,,,,,,,,1.816,,,,,,,,,
1890,,,,,1.583,,,,0.815,,,,,,,,,,,,,,1.654,,,,,,,,,,,,,1.846,,,,,,,,,
1891,,,,,1.16,,,,1.296,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,0.977,,,,,,,,,
1892,,,,,2.506,,,,1.304,,,,,,,,,,,,,,3.179,,,,,,,,,,,,,0.895,,,,,,,,,
1893,,,,,2.682,,,,1.486,,,,,,,,,,,,,,2.93,,,,,,,,,,,,,1.205,,,,,,,,,
1894,,,,,2.944,,,,1.926,,,,,,,,,,,,,,0.758,,,,,5.425,,,,,,,,1.472,,,,,,,,,
1895,,,,,2.521,,,,1.878,,,,,,,,,,,,,,2.526,,,,,4.983,,,,,,,,0.898,,,,,,,,,
1896,,,,,2.788,,,,2.078,,,,,,,,,,,,,,2.379,,,,,4.711,,,,,,,,1.037,,,,,,,,,
1897,,,,,2.562,,,1.823,3.306,,,,,,,,,,,,,,2.654,,,,,3.862,,,,,,,,1.092,,,,,,,,,
1898,,,,,1.9,,,2.177,2.001,,,,,,,,,,,,,,3.208,,,,4.191,4.729,,,,,,,,1.239,,,,,,,,,
1899,,,,,2.261,,,1.119,2.157,,,,,,,,,,,,,,3.77,,,,4.441,5.239,,,,,,,,3.663,,,,,,,,,
1900,,,,,1.412,,,1.558,2.186,,,,,,,,,,,,,,3.721,,,,5.172,4.796,,,,,,,,4.834,,,,,,,,,
1901,,,,,1.424,,,2.276,2.474,,,,,,,,,,,,,,4.497,,,,4.411,4.405,,,,,,,,3.814,,,,,,,,,
1902,,,,,1.469,,,2.411,2.858,,,,,,,,,,,,,,4.44,,,,6.529,6.805,,,,,,,,4.552,,,,,,,,,
1903,,,,,1.664,,,2.035,2.662,,,,,,,,,,,,,,5.928,,,,6.218,6.755,,,,,,,,4.368,,,,,,,,,
1904,,,,,2.568,,,3.177,3.351,,,,,,,,,,,,,,4.435,,,3.975,4.506,5.767,,,,,,,,2.808,,,,,,,,,6.485
1905,9.104,,,,3.249,,,1.737,2.208,,,,,,,,,,,,,,3.112,2.524,,5.563,4.566,5.04,,,,,,,,3.335,,,,,,,,,5.23
1906,7.432,,4.895,,2.692,,,1.475,2.214,,,,,,,,,,,,,,2.665,2.42,,6.443,4.357,5.359,,,,,,,,3.355,,,,,,,,,7.134
1907,6.693,,4.699,,2.939,,5.881,1.837,2.506,,,,,,,,,,,,0.854,,3.101,3.421,,8.209,4.764,6.396,,,3.593,,,,,2.768,,,,,,,,,7.385
1908,6.838,,3.228,,2.592,,5.847,2.133,3.438,,,,,,,,,,,,1.039,,3.33,4.766,,8.477,6.609,6.876,,,2.908,,,,,2.898,,,,,,,,,7.825
1909,7.299,,3.027,,2.283,,5.802,2.489,3.817,,,,,,,,,,,,1.427,,5.2,4.671,,8.116,5.837,6.432,,,2.706,,,,,4.055,,,,,,,,,7.992
1910,7.6,,3.413,,2.471,,4.935,1.357,3.141,,,,,,,,,,,0.799,1.914,,5.367,4.899,,8.371,5.833,6.093,,,2.759,,,,,3.996,,,,,,,,,8.326
