Year,A6P1,A6P3,A6P2,A6P4,A5P3,A8P3,A8P2,A8P1,A8P4,A8P5,A19P3,A19P2,A19P1,A19P4,A19P5,A22P1,A22P3,A22P2,A22P4,A22P5,A23P2,A23P1,A23P3,A23P4,A5P2,A24P1,A24P2,A24P3,A24P4,A24P5,B16P4,B16P2,B16P3,B16P5,B16P1,A5P1,B18P1,B18P2,B18P3,B18P4,B18P5,B19P4,B19P3,B19P1,A5P5
1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.134,,,,,,,,,,
1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.488,,,,,,,,,,
1880,,,,,,,,,,3.197,,,,,,,,,,,,,,,,,,,,,,,,,6.527,,,,,,,,,,
1881,,,,,,,,,,3.252,,,,,,,,,,,,,,,,,,,,,,,,,5.966,,,,,,,,,,
1882,,,,,,,,,,3.57,1.176,,,,,,,,,,,,,,,,,,,,,,,,6.223,,,,,,,,,,
1883,,,,,,,,,,2.81,1.861,,,,,,,,,,,,,,,,,,,,,,,,4.221,,,,,,,,,,
1884,,,,,,,,,,2.396,1.723,,,,,,,,,,,,,,,,,,,,,,,,3.993,,,,,,,,,,
1885,,,,,,,,,,2.493,1.688,,,,,,,,,,,,,,,,,,,,,,,,4.684,,,,,,,,,,
1886,,,,,,,,,,2.16,1.133,,,,,,,,,,,,,,,,,,,,,,,,3.301,,1.308,,,,,,,,
1887,,,,,,,,,,2.385,1.04,,,,1.861,,,,,,,,,,,,,,,,,,,,5.373,,1.319,,,,,,,,
1888,,,,,,,,,,2.769,1.448,,,,3.06,,,,,,,,,,,4.869,,,,,,,,,4.103,,1.261,,,,,,,,
1889,,,,,,,,,,1.973,1.558,,,,1.747,,,,,,,,,,,4.869,,,,,,,,,5.293,,1.591,,,,,,,,
1890,,,,,,,,,,1.821,1.753,,,,2.738,,,,,,,,,,,5.47,,,,,,,,,6.357,,1.762,,,,,,,,
1891,,,,,,,,,,2.468,1.9,,,,2.515,,,,,,,,,,,5.738,,,,,,,,,6.754,,1.282,,,,,,,,
